Depth,AC,DEN,CN,LLD,GR,Pp
3126.75,83.611,2.544,23.649,4.36,59.574,35.70818882
3126.875,83.212,2.547,23.363,4.32,59.968,35.2384957
3127,82.959,2.55,23.194,4.289,60.419,34.93796672
3127.125,83.164,2.551,23.278,4.236,61.099,35.18877494
3127.25,83.945,2.55,23.545,4.205,62.2,36.11407734
3127.375,84.693,2.547,24.216,4.189,62.731,36.97271418
3127.5,85.414,2.542,24.975,4.128,62.637,37.7758216
3127.625,86.234,2.54,25.405,4.067,62.516,38.66040428
3127.75,86.846,2.539,25.691,3.872,62.966,39.30268792
3127.875,87.289,2.538,25.809,3.619,64.477,39.75890531
3128,87.899,2.538,25.784,3.495,66.126,40.37264989
3128.125,89.131,2.537,25.859,3.281,67.964,41.56413641
3128.25,90.476,2.535,26.134,3.12,70.546,42.80057561
3128.375,91.303,2.531,27.021,3.059,72.643,43.530932
3128.5,91.98,2.523,28.256,2.973,73.607,44.11254358
3128.625,92.633,2.514,29.081,2.92,74.23,44.65971242
3128.75,92.891,2.503,29.661,2.902,74.459,44.8744434
3128.875,92.731,2.483,29.744,2.875,73.95,44.74748465
3129,92.308,2.468,29.178,2.868,73.274,44.40197392
3129.125,91.343,2.464,28.671,2.866,72.575,43.58774064
3129.25,90.456,2.466,28.278,2.887,72.019,42.8125141
3129.375,90.153,2.479,27.993,2.91,72.132,42.54398891
3129.5,90.125,2.496,27.89,2.985,72.518,42.52240049
3129.625,90.354,2.506,27.857,3.084,72.898,42.73240192
3129.75,90.262,2.513,27.832,3.135,72.92,42.6534831
3129.875,89.753,2.52,27.786,3.233,72.402,42.19459907
3130,89.019,2.526,27.669,3.31,71.927,41.51485383
3130.125,88.133,2.53,27.478,3.334,71.542,40.6668764
3130.25,88.029,2.534,27.188,3.341,71.207,40.56870142
3130.375,88.543,2.54,26.706,3.307,70.809,41.07225803
3130.5,89.258,2.544,26.431,3.278,70.412,41.75456684
3130.625,90.016,2.545,26.537,3.19,70.008,42.45718021
3130.75,90.267,2.545,26.898,3.131,69.526,42.68781634
3130.875,90.245,2.539,27.747,3.001,69.164,42.67174666
3131,90.287,2.528,28.509,2.876,68.841,42.71325931
3131.125,90.78,2.519,28.697,2.821,68.429,43.15591516
3131.25,91.608,2.509,28.588,2.737,68.121,43.87830762
3131.375,92.066,2.499,28.135,2.676,68.827,44.26985784
3131.5,92.154,2.493,27.772,2.646,70.1,44.3473002
3131.625,91.514,2.493,27.71,2.579,71.737,43.80897738
3131.75,90.386,2.494,27.747,2.504,73.868,42.82443877
3131.875,89.661,2.498,27.931,2.462,74.587,42.16986933
3132,89.303,2.502,28.355,2.364,73.847,41.84163
3132.125,89.867,2.501,28.904,2.261,72.558,42.36628421
3132.25,91.323,2.498,29.629,2.215,70.854,43.66318077
3132.375,92.56,2.483,30.634,2.133,70.271,44.71017389
3132.5,93.818,2.46,31.074,2.095,70.832,45.72594781
3132.625,95.605,2.442,30.914,2.027,71.926,47.08813965
3132.75,97.249,2.425,30.602,1.969,73.692,48.26540424
3132.875,98.286,2.408,30.401,1.938,75.018,48.97429258
3133,99.186,2.403,30.797,1.87,75.475,49.56920619
3133.125,99.776,2.408,31.398,1.813,75.549,49.95034237
3133.25,99.401,2.418,32.017,1.796,75.236,49.71485109
3133.375,98.712,2.439,32.402,1.788,74.974,49.27088037
3133.5,97.908,2.458,31.957,1.821,74.877,48.73821448
3133.625,96.787,2.466,31.204,1.857,74.637,47.96791755
3133.75,95.861,2.469,30.318,1.977,73.409,47.30819879
3133.875,95.33,2.471,29.079,2.055,71.088,46.92123191
3134,94.76,2.473,28.057,2.231,69.154,46.49703278
3134.125,93.719,2.478,27.507,2.406,67.678,45.69566196
3134.25,92.457,2.484,27.033,2.485,67.426,44.680479
3134.375,91.502,2.495,26.468,2.612,69.07,43.88021279
3134.5,90.615,2.504,26.047,2.698,70.752,43.11046387
3134.625,89.842,2.509,25.858,2.737,72.213,42.4182123
3134.75,89.865,2.512,25.761,2.815,73.077,42.44296223
3134.875,90.426,2.512,25.953,2.88,72.505,42.95339588
3135,91.315,2.507,26.594,2.901,71.599,43.73788029
3135.125,92.883,2.501,27.294,2.916,70.675,45.05558538
3135.25,94.329,2.495,28.05,2.895,69.691,46.20404292
3135.375,95.039,2.488,28.839,2.871,69.43,46.74763583
3135.5,95.424,2.483,28.985,2.806,69.348,47.03819867
3135.625,95.116,2.482,28.704,2.773,68.771,46.81262914
3135.75,94.02,2.482,28.34,2.718,66.62,45.9792181
3135.875,93.091,2.485,28.032,2.685,63.946,45.24616258
3136,92.32,2.49,28.12,2.675,62.695,44.61860036
3136.125,92.025,2.495,28.385,2.654,62.306,44.37585808
3136.25,92.685,2.499,28.689,2.615,63.329,44.92709547
3136.375,93.419,2.504,29.09,2.586,65.063,45.52388737
3136.5,94.062,2.506,29.464,2.506,66.122,46.03388278
3136.625,94.684,2.505,29.744,2.408,67.087,46.51592543
3136.75,95.146,2.502,30.03,2.36,68.705,46.86783717
3136.875,95.453,2.497,30.335,2.283,70.334,47.09964105
3137,95.805,2.492,30.484,2.257,71.108,47.36173727
3137.125,96.228,2.489,30.584,2.228,71.507,47.67158952
3137.25,96.31,2.488,30.807,2.22,71.664,47.73402987
3137.375,96.186,2.487,31.474,2.222,72.019,47.64864319
3137.5,96.006,2.487,32.213,2.245,72.583,47.52234709
3137.625,95.766,2.487,32.376,2.295,73.156,47.35141934
3137.75,95.688,2.488,32.075,2.328,73.356,47.29799106
3137.875,95.793,2.489,30.903,2.406,72.804,47.37839438
3138,95.918,2.489,29.695,2.489,72.251,47.47303384
3138.125,95.728,2.488,29.307,2.527,71.894,47.33816766
3138.25,95.018,2.488,29.313,2.596,71.738,46.8156632
3138.375,94.285,2.488,29.681,2.665,71.503,46.26150731
3138.5,93.589,2.489,29.87,2.706,70.958,45.72129988
3138.625,93.09,2.491,29.737,2.806,70.169,45.3262527
3138.75,93.101,2.495,29.52,2.86,68.85,45.33880006
3138.875,93.207,2.5,29.239,2.955,67.611,45.42776094
3139,93.209,2.506,28.968,3.018,67.039,45.43304222
3139.125,92.829,2.509,28.691,3.035,66.738,45.12943918
3139.25,92.03,2.511,28.348,3.036,66.374,44.47248011
3139.375,91.276,2.515,27.942,2.999,65.729,43.83407795
3139.5,90.463,2.518,27.803,2.973,65.116,43.12433708
3139.625,89.381,2.522,27.853,2.915,64.596,42.14304923
3139.75,88.662,2.525,27.924,2.847,64.77,41.46882851
3139.875,88.566,2.53,27.947,2.81,66.392,41.38061272
3140,88.738,2.532,27.863,2.734,68.023,41.5489295
3140.125,89.499,2.532,27.753,2.696,69.376,42.26749296
3140.25,90.668,2.53,27.62,2.619,70.113,43.3286929
3140.375,91.489,2.525,27.508,2.543,69.806,44.04700798
