Depth,AC,DEN,Ip,Pp
3321.75,98.28,2.499,7750.25641,54.42477766
3321.875,97.352,2.507,7849.182349,53.82044652
3322,96.119,2.516,7978.410096,52.98427515
3322.125,95.374,2.523,8063.103152,52.46197332
3322.25,95.232,2.527,8087.928427,52.36376245
3322.375,94.962,2.53,8120.553485,52.17224364
3322.5,94.076,2.532,8203.512054,51.52155762
3322.625,93.03,2.533,8299.026121,50.72443573
3322.75,91.712,2.534,8421.615492,49.67314079
3322.875,89.568,2.534,8623.204716,47.84282612
3323,87.831,2.535,8797.212829,46.244024
3323.125,87.329,2.537,8854.763023,45.76376777
3323.25,87.474,2.539,8847.053982,45.90843207
3323.375,88.846,2.54,8713.86444,47.20521204
3323.5,90.83,2.54,8523.527469,48.95953375
3323.625,92.082,2.54,8407.636672,50.00082513
3323.75,92.983,2.539,8322.88913,50.72119445
3323.875,93.438,2.538,8279.09844,51.07765475
3324,93.048,2.536,8307.247872,50.77939578
3324.125,92.36,2.537,8372.429623,50.23948815
3324.25,91.55,2.54,8456.493719,49.58476885
3324.375,90.671,2.544,8551.92068,48.85053569
3324.5,90.525,2.549,8582.548467,48.7292923
3324.625,90.896,2.551,8554.224608,49.04934588
3324.75,91.396,2.549,8500.757145,49.47227345
3324.875,91.898,2.547,8447.687654,49.88885993
3325,91.985,2.543,8426.443442,49.96334712
3325.125,91.925,2.541,8425.311939,49.91832434
3325.25,91.951,2.541,8422.929604,49.94321003
3325.375,92.153,2.542,8407.774028,50.11050882
3325.5,92.194,2.543,8407.341042,50.14728956
3325.625,92.001,2.542,8421.664982,49.99503351
3325.75,91.76,2.54,8437.140366,49.80237491
3325.875,91.607,2.537,8441.250123,49.68049857
3326,91.7,2.531,8412.745911,49.76069066
3326.125,91.71,2.527,8398.534511,49.77264055
3326.25,91.435,2.528,8427.127468,49.54965301
3326.375,90.242,2.531,8548.666918,48.54160923
3326.5,88.482,2.54,8749.711806,46.96440956
3326.625,87.332,2.551,8903.320661,45.87429188
3326.75,86.535,2.559,9013.49974,45.08992327
3326.875,86.477,2.565,9040.692901,45.03543205
3327,87.868,2.569,8911.448992,46.40188811
3327.125,89.682,2.565,8717.602194,48.0730521
